spt,survey,Number/Sq. Deg,Model,Distance
23,Imaging,115.844,H=200 pc,7282.0
24,Imaging,124.006,H=200 pc,6625.0
25,Imaging,133.703,H=200 pc,6214.0
26,Imaging,143.941,H=200 pc,5973.0
27,Imaging,153.623,H=200 pc,5842.0
28,Imaging,161.985,H=200 pc,5770.0
29,Imaging,169.255,H=200 pc,5711.0
30,Imaging,178.024,H=200 pc,5621.0
31,Imaging,188.006,H=200 pc,5465.0
32,Imaging,197.758,H=200 pc,5214.0
33,Imaging,208.361,H=200 pc,4857.0
34,Imaging,220.472,H=200 pc,4401.0
35,Imaging,231.451,H=200 pc,3869.0
36,Imaging,249.736,H=200 pc,3301.0
37,Imaging,279.31,H=200 pc,2739.0
38,Imaging,295.8,H=200 pc,2221.0
39,Imaging,289.177,H=200 pc,1773.0
15,Imaging,16.005,H=300 pc,60799.0
16,Imaging,83.893,H=300 pc,41840.0
17,Imaging,169.693,H=300 pc,29277.0
18,Imaging,210.913,H=300 pc,21058.0
19,Imaging,230.38,H=300 pc,15689.0
20,Imaging,256.7,H=300 pc,12165.0
21,Imaging,287.113,H=300 pc,9839.0
22,Imaging,313.779,H=300 pc,8298.0
23,Imaging,335.455,H=300 pc,7282.0
24,Imaging,357.929,H=300 pc,6625.0
25,Imaging,384.668,H=300 pc,6214.0
26,Imaging,413.076,H=300 pc,5973.0
27,Imaging,440.148,H=300 pc,5842.0
28,Imaging,463.656,H=300 pc,5770.0
29,Imaging,484.057,H=300 pc,5711.0
30,Imaging,508.444,H=300 pc,5621.0
31,Imaging,535.54,H=300 pc,5465.0
32,Imaging,560.497,H=300 pc,5214.0
33,Imaging,585.135,H=300 pc,4857.0
34,Imaging,609.13,H=300 pc,4401.0
35,Imaging,622.056,H=300 pc,3869.0
36,Imaging,642.735,H=300 pc,3301.0
37,Imaging,676.266,H=300 pc,2739.0
38,Imaging,664.063,H=300 pc,2221.0
39,Imaging,597.911,H=300 pc,1773.0
15,Imaging,94.361,H=600 pc,60799.0
16,Imaging,494.617,H=600 pc,41840.0
17,Imaging,1000.476,H=600 pc,29277.0
18,Imaging,1243.49,H=600 pc,21058.0
19,Imaging,1358.05,H=600 pc,15689.0
20,Imaging,1510.395,H=600 pc,12165.0
21,Imaging,1675.078,H=600 pc,9839.0
22,Imaging,1795.868,H=600 pc,8298.0
23,Imaging,1868.89,H=600 pc,7282.0
24,Imaging,1939.814,H=600 pc,6625.0
25,Imaging,2038.02,H=600 pc,6214.0
26,Imaging,2154.637,H=600 pc,5973.0
